Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp1x;488 nm;1x;2.0;1.0;2.0;1.0
1x;594 nm;1x;2.4180000000000015;0.9000000000000004;2.5949999999999984;0.8300000000000001
1x;594 nm;1.25x;2.403000000000002;0.6150000000000002;2.5949999999999984;0.5299999999999999
1x;594 nm;1.6x;2.4080000000000017;0.44000000000000006;2.5999999999999983;0.35999999999999976
1x;594 nm;2x;2.403000000000002;0.37000000000000005;2.5519999999999996;0.31
1x;594 nm;2.5x;2.398000000000002;0.3900000000000002;2.5999999999999983;0.24499999999999966
1x;594 nm;3.2x;2.4040000000000084;0.23799999999999957;2.6029999999999998;0.21500000000000002
1x;594 nm;4x;2.405000000000008;0.26400000000000007;2.6060000000000008;0.1419999999999999
1x;594 nm;5x;2.4010000000000065;0.14399999999999996;2.6039999999999934;0.12999999999999998
1x;594 nm;6.3x;2.401000000000008;0.13800000000000004;2.5999999999999908;0.09199999999999992
1x;647 nm;0.63x;2.379000000000006;1.344;2.5710000000000024;1.224
1x;647 nm;0.8x;2.423000000000008;0.9560000000000002;2.6049999999999938;1.018
1x;647 nm;1x;2.495;0.87;2.602999999999993;0.7479999999999999
1x;647 nm;1.25x;2.423000000000008;0.6479999999999999;2.6029999999999927;0.582
1x;647 nm;1.6x;2.4210000000000083;0.5359999999999999;2.6129999999999955;0.4299999999999998
1x;647 nm;2x;2.3930000000000025;0.432;2.6189999999999993;0.366
1x;647 nm;2.5x;2.417000000000007;0.3799999999999999;2.606999999999996;0.27999999999999997
1x;647 nm;3.2x;2.415000000000008;0.23199999999999998;2.608999999999992;0.24199999999999977
1x;647 nm;4x;2.4190000000000085;0.2;2.6129999999999924;0.20800000000000002
1x;647 nm;5x;2.415000000000002;0.14500000000000002;2.6099999999999923;0.12499999999999994
1x;647 nm;6.3x;2.481;0.07400000000000001;2.7779999999999996;0.092
